,cc_number,company_reg_number,cc_start_date,cc_billing_enddate,cc_agreed_limit,cc_balance_limit_ratio,cc_missed_payments,missed_payments_number
121,356055883313,20000121,2020-10-21 13:48:34.284446,11-24,17081.834275522273,7.659,NA,1
121,182351114479,20000121,2018-03-15 13:48:34.579376,04-17,17081.834275522273,10.885,NA,1
4,883939104679,20000004,2019-08-25 13:48:34.674364,09-29,29153.625914738597,11.05,NA,0
4,772626443240,20000004,2019-10-09 13:48:34.775285,11-13,29153.625914738597,9.088,NA,0
561,696262841941,20000561,2014-08-30 13:48:34.775285,09-29,40995.466636553494,18.8,NA,0
561,626529366943,20000561,2008-12-25 13:48:34.775285,02-03,40995.466636553494,20.984,NA,0
561,496573764585,20000561,2015-08-07 13:48:34.775285,09-05,54660.622182071325,20.361,NA,1
561,124563148105,20000561,2013-10-31 13:48:34.775285,11-29,54660.622182071325,20.734,NA,0
764,122556604098,20000764,2020-08-16 13:48:35.091511,09-18,18104.888406877326,10.418,NA,0
764,823900706091,20000764,2017-06-13 13:48:35.399402,07-12,13578.666305157994,11.162,4,4
764,353471344929,20000764,2020-03-27 13:48:35.737285,05-09,13578.666305157994,7.998,NA,1
764,552080615650,20000764,2020-11-18 13:48:36.042114,12-19,18104.888406877326,7.697,NA,0
648,609497002368,20000648,2016-07-12 13:48:36.877566,08-24,109002.1485906809,14.334,NA,1
293,366298139187,20000293,2019-01-16 13:48:37.182392,02-24,24940.541623095534,10.081,NA,1
293,744223410682,20000293,2018-03-20 13:48:37.476095,05-01,24940.541623095534,10.482,2,2
912,165429745395,20000912,2011-11-25 13:48:37.476095,12-27,37824.17395469888,18.152,NA,1
433,346118265317,20000433,2009-07-28 13:48:37.477098,09-07,39523.713012765525,18.481,NA,0
280,826894314587,20000280,2018-05-21 13:48:37.825351,06-29,12159.001540777874,8.8,3,3
280,627487698061,20000280,2016-12-26 13:48:38.206288,02-02,16212.002054370498,8.958,NA,1
732,363079932343,20000732,2015-05-21 13:48:38.206288,06-26,31540.290107683533,19.358,NA,0
732,993035710453,20000732,2008-12-01 13:48:38.206288,01-13,42053.720143578044,18.527,NA,0
99,152436455378,20000099,2017-07-29 13:48:38.597218,09-08,13143.0791843125,11.481,NA,0
99,756697386762,20000099,2017-03-11 13:48:38.986259,04-13,13143.0791843125,8.131,NA,0
99,772103658986,20000099,2021-02-10 13:48:39.343262,03-17,17524.105579083334,9.555,NA,1
99,704550832497,20000099,2016-12-02 13:48:39.700114,01-03,13143.0791843125,9.868,NA,0
605,947894246586,20000605,2012-02-20 13:48:39.700114,03-26,32302.632948117272,17.445,NA,1
605,962733811026,20000605,2014-09-24 13:48:39.700114,11-05,32302.632948117272,17.341,NA,1
605,514153238578,20000605,2011-11-29 13:48:39.700114,12-30,43070.177264156366,20.424,NA,1
223,809592593101,20000223,2015-08-27 13:48:40.274108,10-07,56539.13181697694,22.649,5,5
223,140239804537,20000223,2019-11-09 13:48:40.844180,12-23,56539.13181697694,11.031,0,0
223,716669487431,20000223,2017-02-27 13:48:41.396674,04-03,42404.3488627327,9.174,NA,0
792,313538390581,20000792,2010-07-25 13:48:41.396674,09-03,62764.2224646463,24.057,NA,1
818,858829135231,20000818,2012-08-12 13:48:42.878587,09-15,12403.351387637922,22.886,NA,0
818,507590703581,20000818,2016-01-08 13:48:44.246363,02-11,12403.351387637922,10.618,9,9
818,270633950356,20000818,2015-01-30 13:48:45.632389,03-05,12403.351387637922,21.261,NA,0
818,695835308163,20000818,2018-02-03 13:48:47.239422,03-18,12403.351387637922,9.524,NA,1
621,307402104110,20000621,2020-03-07 13:48:47.551438,04-16,29333.140830754928,9.397,NA,1
621,653121484267,20000621,2020-09-28 13:48:47.917989,10-27,29333.140830754928,11.3,-2,1
621,652732745279,20000621,2019-04-14 13:48:48.226308,05-19,29333.140830754928,7.88,NA,1
536,865568535477,20000536,2016-08-12 13:48:48.937230,09-13,75038.63915318968,14.73,6,6
536,160203439658,20000536,2020-07-21 13:48:49.648332,08-30,75038.63915318968,12.89,NA,1
7,843859158363,20000007,2016-09-24 13:48:50.112669,11-03,40602.0454370217,7.415,9,9
7,619423696401,20000007,2016-11-08 13:48:50.605321,12-12,30451.53407776627,11.43,6,6
975,459115241833,20000975,2014-03-21 13:48:51.533387,04-30,21462.147171717592,19.318,NA,1
975,736395868581,20000975,2016-06-18 13:48:52.597206,07-22,16096.610378788195,10.775,NA,0
975,962614419412,20000975,2017-03-18 13:48:53.512395,04-28,21462.147171717592,11.935,4,4
975,154394258868,20000975,2014-02-25 13:48:54.453325,04-07,21462.147171717592,18.705,6,6
547,725353265645,20000547,2015-06-20 13:48:54.453325,08-01,20467.641201973183,20.617,NA,1
547,541443885067,20000547,2009-07-08 13:48:54.453325,08-19,20467.641201973183,20.542,NA,1
212,865974461808,20000212,2015-12-25 13:48:55.072369,02-05,24184.27921649076,11.3,NA,0
212,325979797206,20000212,2015-07-11 13:48:55.676586,08-12,24184.27921649076,21.856,5,5
212,345331151141,20000212,2021-01-14 13:48:56.285269,02-21,18138.20941236807,10.551,NA,1
826,328693502825,20000826,2019-08-22 13:48:56.380242,10-02,9963.109888456738,9.659,NA,0
826,114149222182,20000826,2020-11-12 13:48:56.475359,12-25,13284.146517942318,8.565,NA,0
826,978633983141,20000826,2020-03-16 13:48:56.567319,04-25,13284.146517942318,10.965,-2,1
964,457782830560,20000964,2011-10-11 13:48:56.567319,11-10,62564.335497165106,25.954,10,10
896,483982718150,20000896,2011-10-24 13:48:56.568307,12-05,96533.10512243326,27.807,NA,0
39,895192072502,20000039,2011-11-27 13:48:56.568307,01-05,81123.49548954672,23.409,NA,1
876,663465178527,20000876,2018-11-15 13:48:56.769538,12-26,24128.562721806633,7.675,NA,0
876,646707441825,20000876,2019-01-27 13:48:56.968326,02-27,32171.416962408843,10.035,NA,0
876,814190509156,20000876,2018-12-14 13:48:57.154682,01-27,24128.562721806633,8.394,NA,0
876,467897942186,20000876,2021-07-15 13:48:57.337692,08-24,32171.416962408843,10.823,NA,0
504,174342880901,20000504,2016-06-12 13:48:57.787330,07-15,23400.28911044945,9.264,NA,0
504,791244961437,20000504,2019-08-18 13:48:58.250332,09-19,23400.28911044945,9.254,NA,0
504,226348157924,20000504,2016-10-26 13:48:58.703674,11-24,23400.28911044945,7.25,NA,0
504,218087805487,20000504,2019-08-12 13:48:59.144294,09-12,17550.216832837086,11.845,NA,1
440,230812443926,20000440,2016-10-25 13:49:00.126255,12-01,24076.918183897953,9.806,NA,1
440,814703330801,20000440,2017-12-29 13:49:01.233557,02-09,32102.557578530603,10.193,NA,0
440,331825845437,20000440,2015-04-23 13:49:02.301301,05-22,32102.557578530603,21.027,NA,0
990,399409894241,20000990,2018-05-24 13:49:02.577571,07-01,64107.428058642545,12.557,3,3
990,203092526949,20000990,2017-09-28 13:49:02.839050,11-01,48080.57104398191,8.608,6,6
990,146348562078,20000990,2017-09-30 13:49:03.089237,11-12,64107.428058642545,11.336,6,6
847,845324497028,20000847,2017-03-07 13:49:03.529384,04-18,8303.203921174738,7.902,NA,0
847,926950629407,20000847,2016-10-14 13:49:03.973300,11-27,11070.938561566318,10.003,NA,0
847,584490887198,20000847,2017-08-17 13:49:04.432482,09-24,8303.203921174738,7.691,NA,1
847,970122976204,20000847,2016-08-26 13:49:04.871447,09-24,8303.203921174738,10.772,NA,1
65,421955235107,20000065,2018-04-30 13:49:05.105423,06-10,3904.677220775558,9.379,NA,1
65,220450321548,20000065,2019-11-24 13:49:05.326038,12-23,2928.5079155816684,7.426,NA,0
65,357267612352,20000065,2018-02-12 13:49:05.540194,03-22,2928.5079155816684,11.491,NA,0
65,636887169395,20000065,2019-03-02 13:49:05.749231,04-03,2928.5079155816684,10.05,0,0
940,451467875325,20000940,2014-11-15 13:49:06.765651,12-23,13564.099649895232,17.259,NA,1
940,774207760442,20000940,2016-01-10 13:49:07.739293,02-17,13564.099649895232,9.875,NA,1
940,505201336520,20000940,2014-05-18 13:49:08.646579,06-24,13564.099649895232,19.113,NA,0
514,176505283282,20000514,2019-04-20 13:49:08.766386,05-29,245334.3761596852,13.108,NA,1
514,954664294863,20000514,2020-03-30 13:49:08.889539,05-12,245334.3761596852,14.091,NA,0
47,918394944068,20000047,2019-08-26 13:49:08.973412,10-08,176033.15368980134,12.348,NA,0
47,570745785102,20000047,2020-10-12 13:49:09.066296,11-25,176033.15368980134,14.689,NA,0
47,592329509558,20000047,2020-03-31 13:49:09.153118,05-02,176033.15368980134,10.736,NA,0
923,224593648215,20000923,2019-12-12 13:49:09.274276,01-24,65856.36399247125,12.739,NA,0
923,451444152199,20000923,2019-07-14 13:49:09.394247,08-16,87808.485323295,14.62,NA,1
923,593572519893,20000923,2021-02-03 13:49:09.511433,03-11,87808.485323295,13.317,NA,0
923,674066818460,20000923,2019-12-14 13:49:09.627350,01-22,87808.485323295,10.224,NA,0
881,838091951253,20000881,2017-04-10 13:49:10.684399,05-20,4371.040005303244,7.467,NA,1
881,919949827240,20000881,2014-04-13 13:49:11.724398,05-13,4371.040005303244,22.322,NA,0
312,581863748772,20000312,2014-09-22 13:49:11.724398,10-29,2072.2967057125356,19.551,NA,0
441,608910289713,20000441,2016-05-09 13:49:12.329447,06-19,1501.149202245333,8.938,NA,0
441,200329597977,20000441,2021-02-03 13:49:12.878206,03-13,1501.149202245333,10.946,NA,1
418,255337102507,20000418,2011-11-23 13:49:12.879195,01-05,41730.85438357763,18.62,9,9
418,964992460814,20000418,2011-05-02 13:49:12.879195,06-04,41730.85438357763,20.482,NA,0
418,894371778366,20000418,2011-09-25 13:49:12.879195,11-08,31298.140787683224,19.92,NA,1
418,442643404257,20000418,2011-12-09 13:49:12.879195,01-18,41730.85438357763,20.479,NA,0
418,480131102170,20000418,2010-12-15 13:49:12.879195,01-15,41730.85438357763,17.221,NA,0
418,339032233827,20000418,2013-04-28 13:49:12.879195,06-09,41730.85438357763,19.831,NA,0
955,520677797362,20000955,2015-11-02 13:49:12.879195,12-01,227200.07398034236,23.421,NA,0
955,554885680441,20000955,2010-06-23 13:49:12.879195,07-29,227200.07398034236,25.957,11,11
955,338560963812,20000955,2012-12-19 13:49:12.879195,01-29,227200.07398034236,25.638,8,8
955,541272105002,20000955,2009-11-27 13:49:12.879195,01-09,170400.05548525677,23.023,NA,0
967,980255599019,20000967,2020-04-11 13:49:13.118423,05-18,61987.952951067746,11.144,NA,1
967,899074210237,20000967,2019-02-16 13:49:13.368411,03-26,46490.96471330081,7.968,NA,0
967,464944597511,20000967,2019-12-06 13:49:13.619239,01-04,46490.96471330081,10.468,-2,1
967,207199701767,20000967,2020-10-28 13:49:13.842442,12-05,61987.952951067746,11.347,NA,1
415,677845425117,20000415,2021-05-13 13:49:13.954337,06-26,201206.83601866814,11.399,-4,1
415,967891003014,20000415,2019-11-09 13:49:14.074340,12-23,201206.83601866814,14.045,NA,1
415,131721363134,20000415,2019-08-30 13:49:14.195274,10-06,201206.83601866814,12.663,NA,1
415,915969122248,20000415,2019-08-07 13:49:14.314697,09-08,201206.83601866814,11.453,NA,1
415,823330873285,20000415,2021-09-06 13:49:14.441170,10-18,201206.83601866814,12.41,NA,1
415,147765583130,20000415,2020-03-12 13:49:14.556505,04-13,201206.83601866814,10.436,NA,0
328,459412251695,20000328,2012-12-20 13:49:14.556505,01-22,54480.04994362663,19.307,NA,0
328,694692595583,20000328,2011-04-29 13:49:14.556505,06-07,54480.04994362663,20.246,NA,1
328,334724851207,20000328,2011-10-20 13:49:14.556505,11-21,54480.04994362663,22.011,NA,1
328,465191938798,20000328,2014-03-19 13:49:14.556505,04-18,54480.04994362663,20.573,NA,0
474,789057075846,20000474,2012-07-13 13:49:14.556505,08-24,79854.58251559161,23.485,NA,1
474,936408420094,20000474,2012-02-01 13:49:14.557505,03-05,79854.58251559161,28.755,9,9
474,667940507423,20000474,2013-11-05 13:49:14.557517,12-17,79854.58251559161,26.268,NA,0
474,252753836740,20000474,2014-08-11 13:49:14.557517,09-14,59890.93688669371,22.812,NA,1
980,641015135169,20000980,2014-09-24 13:49:14.557517,11-07,61814.9269403664,18.919,7,7
980,877707947364,20000980,2013-07-15 13:49:14.557517,08-28,46361.1952052748,19.253,NA,1
980,405933219319,20000980,2014-10-16 13:49:14.557517,11-21,61814.9269403664,21.488,6,6
980,804456518713,20000980,2009-10-03 13:49:14.557517,11-10,46361.1952052748,17.924,13,13
799,359627198657,20000799,2011-03-28 13:49:14.557517,04-28,40342.522911568616,20.6,NA,0
799,817244372655,20000799,2013-03-20 13:49:14.557517,04-18,40342.522911568616,21.81,NA,1
799,390674661558,20000799,2012-02-09 13:49:14.557517,03-19,53790.03054875816,17.947,NA,0
799,989809952848,20000799,2015-11-03 13:49:14.557517,12-05,53790.03054875816,22.058,NA,1
799,374931014352,20000799,2014-10-26 13:49:14.557517,12-03,53790.03054875816,17.891,NA,0
799,784446639027,20000799,2009-11-15 13:49:14.557517,12-24,40342.522911568616,17.047,NA,1
510,912888409518,20000510,2019-05-29 13:49:14.655407,07-10,78415.17366068448,14.273,0,0
510,391781678324,20000510,2020-03-17 13:49:14.752187,04-24,78415.17366068448,13.924,NA,0
510,819657930730,20000510,2021-01-13 13:49:14.848186,02-25,58811.380245513355,7.364,NA,1
510,960242440568,20000510,2020-02-22 13:49:14.953339,04-05,58811.380245513355,7.917,NA,1
973,757032790911,20000973,2013-03-20 13:49:16.059564,04-23,33112.767122971985,21.514,NA,0
973,718553689401,20000973,2015-01-16 13:49:17.272492,02-17,24834.57534222899,17.773,NA,0
973,272476946701,20000973,2014-06-07 13:49:18.385442,07-21,24834.57534222899,19.039,6,6
703,845527018709,20000703,2013-02-24 13:49:19.512438,04-02,320170.49035378115,28.892,NA,0
870,431439587305,20000870,2012-02-07 13:49:19.512438,03-21,106449.91866269191,26.386,NA,0
870,673641186199,20000870,2012-06-18 13:49:19.512438,07-31,106449.91866269191,25.781,NA,0
870,132970123976,20000870,2009-06-21 13:49:19.512438,07-23,141933.22488358922,26.725,NA,1
459,765051323645,20000459,2020-06-09 13:49:19.645420,07-21,218565.78780087095,11.138,NA,0
459,227854809911,20000459,2019-08-22 13:49:19.777434,09-28,218565.78780087095,10.796,NA,0
459,469631147979,20000459,2018-12-06 13:49:19.923431,01-11,291421.05040116125,11.601,0,0
172,389714080438,20000172,2014-12-12 13:49:19.923431,01-14,120874.38490772044,26.12,5,5
172,161640759185,20000172,2013-04-10 13:49:19.923431,05-10,90655.78868079033,22.807,NA,0
172,405655107475,20000172,2013-07-29 13:49:19.923431,09-05,90655.78868079033,27.833,NA,0
172,477332678712,20000172,2009-06-27 13:49:19.923431,08-02,90655.78868079033,25.779,12,12
172,819020788701,20000172,2013-09-24 13:49:19.923431,11-01,120874.38490772044,27.388,NA,1
172,738699569016,20000172,2010-11-01 13:49:19.923431,12-01,90655.78868079033,28.235,NA,1
938,821194528870,20000938,2011-01-10 13:49:19.923431,02-18,31855.139071392234,18.256,NA,1
938,205808842904,20000938,2013-01-14 13:49:19.923431,02-14,42473.518761856314,20.055,NA,0
938,835016486653,20000938,2011-12-27 13:49:19.923431,02-07,42473.518761856314,19.442,9,9
938,712139265198,20000938,2010-04-06 13:49:19.923431,05-19,42473.518761856314,19.069,10,10
250,500151591181,20000250,2015-06-15 13:49:19.923431,07-20,285831.6269723704,22.193,5,5
250,873916626906,20000250,2011-04-06 13:49:19.923431,05-05,285831.6269723704,28.884,NA,1
250,780954030689,20000250,2014-12-16 13:49:19.923431,01-17,285831.6269723704,23.453,NA,0
187,819379882310,20000187,2017-03-07 13:49:20.270324,04-09,215078.37969910636,13.375,NA,0
593,655419053504,20000593,2019-12-22 13:49:20.397339,01-21,43170.511321817125,10.379,-3,0
593,165541091651,20000593,2019-05-06 13:49:20.528286,06-09,43170.511321817125,10.403,NA,1
593,825497190592,20000593,2019-09-17 13:49:20.663636,10-16,32377.88349136284,7.286,0,0
593,456772541814,20000593,2018-12-14 13:49:20.817275,01-16,43170.511321817125,7.958,NA,1
593,781286510355,20000593,2018-12-20 13:49:20.944810,01-29,32377.88349136284,9.557,NA,1
593,423987367796,20000593,2020-01-31 13:49:21.076121,03-15,32377.88349136284,8.026,NA,0
867,144516683504,20000867,2016-07-15 13:49:22.253356,08-23,20335.536061309565,9.786,NA,0
867,987813514799,20000867,2015-03-31 13:49:23.274656,04-29,20335.536061309565,21.781,NA,0
867,182485914030,20000867,2016-03-11 13:49:24.293129,04-15,27114.048081746085,9.533,NA,1
867,431101938970,20000867,2020-03-07 13:49:25.275269,04-12,27114.048081746085,9.371,NA,0
867,138099701491,20000867,2018-06-11 13:49:26.250314,07-20,27114.048081746085,8.966,NA,0
867,317798433575,20000867,2016-03-21 13:49:27.297256,04-23,27114.048081746085,11.506,7,7
207,333293191118,20000207,2012-06-06 13:49:27.297256,07-06,72426.84541728858,26.753,9,9
207,907933072229,20000207,2009-07-22 13:49:27.297256,08-20,72426.84541728858,24.898,11,11
207,517646768383,20000207,2013-12-22 13:49:27.297256,01-23,72426.84541728858,28.887,NA,1
153,285183264495,20000153,2015-07-02 13:49:28.396051,08-04,256654.87752596993,26.545,5,5
153,310626341108,20000153,2015-09-05 13:49:29.508228,10-15,192491.15814447743,27.484,NA,0
153,915615260278,20000153,2014-12-12 13:49:30.691685,01-10,256654.87752596993,26.556,NA,0
962,148738192332,20000962,2010-03-17 13:49:30.691685,04-22,131376.3034017801,22.759,NA,1
962,562783546429,20000962,2013-02-27 13:49:30.691685,03-30,98532.22755133508,28.629,NA,0
962,329064889332,20000962,2010-08-22 13:49:30.691685,10-04,98532.22755133508,27.393,NA,1
962,664128639292,20000962,2009-12-06 13:49:30.691685,01-16,131376.3034017801,24.024,NA,0
962,192663876348,20000962,2012-03-31 13:49:30.691685,05-14,131376.3034017801,23.026,NA,1
962,720753556955,20000962,2008-11-18 13:49:30.691685,12-18,131376.3034017801,27.857,NA,0
957,644888638633,20000957,2019-11-29 13:49:30.822685,01-02,22965.622574408215,7.102,NA,0
957,774967685168,20000957,2019-01-01 13:49:30.949676,02-02,30620.83009921095,7.107,0,0
957,363600059245,20000957,2021-01-24 13:49:31.076340,02-28,30620.83009921095,10.141,-6,0
957,149899988158,20000957,2020-04-11 13:49:31.202208,05-19,30620.83009921095,10.739,NA,0
957,740300082040,20000957,2019-12-27 13:49:31.337207,02-02,22965.622574408215,11.591,NA,1
957,258036964722,20000957,2020-06-25 13:49:31.583391,08-02,30620.83009921095,8.685,NA,1
550,397295915941,20000550,2011-09-23 13:49:31.583391,11-01,83516.88433502192,27.232,NA,0
550,456463410432,20000550,2008-11-22 13:49:31.584389,01-01,83516.88433502192,23.523,13,13
550,553350270802,20000550,2010-04-27 13:49:31.584389,06-07,83516.88433502192,25.699,NA,1
550,834201647130,20000550,2009-11-22 13:49:31.584389,01-05,83516.88433502192,26.1,NA,0
523,778825119681,20000523,2020-05-31 13:49:32.203916,07-08,67982.44983647813,11.489,NA,1
523,306398209145,20000523,2021-03-10 13:49:32.551393,04-21,67982.44983647813,13.054,NA,1
523,766737562403,20000523,2018-08-30 13:49:32.858554,10-03,67982.44983647813,11.291,3,3
523,783779768499,20000523,2018-08-02 13:49:33.196331,08-31,67982.44983647813,14.136,NA,0
523,170166724672,20000523,2018-01-06 13:49:33.487962,02-17,67982.44983647813,14.957,NA,0
523,130686370199,20000523,2019-05-30 13:49:33.959636,07-05,50986.8373773586,10.032,0,0
994,862748843389,20000994,2018-07-28 13:49:34.230346,08-28,468722.56387082423,10.608,2,2
156,853796071679,20000156,2010-12-04 13:49:34.230346,01-06,97039.88524045602,26.411,NA,1
156,885857433545,20000156,2013-12-03 13:49:34.231343,01-09,97039.88524045602,22.483,NA,1
156,669552698207,20000156,2012-07-24 13:49:34.231343,09-04,97039.88524045602,26.77,9,9
410,494854033936,20000410,2014-04-12 13:49:34.231343,05-21,57343.97566813688,19.683,6,6
410,965135684618,20000410,2015-10-28 13:49:34.231343,12-10,43007.98175110266,19.078,NA,1
410,147043714503,20000410,2009-12-22 13:49:34.231343,01-30,57343.97566813688,21.442,NA,0
410,688938623511,20000410,2014-06-14 13:49:34.231343,07-25,57343.97566813688,17.92,NA,1
53,181729058027,20000053,2017-09-26 13:49:35.325221,11-07,141622.47569533816,10.738,NA,1
53,379049722147,20000053,2019-09-02 13:49:36.481633,10-16,141622.47569533816,12.703,NA,1
53,152238442009,20000053,2015-05-16 13:49:37.771377,06-18,141622.47569533816,24.286,NA,1
112,806586992876,20000112,2020-08-08 13:49:38.053796,09-12,38681.637173196774,8.413,NA,0
112,832700489503,20000112,2021-02-20 13:49:38.338492,04-02,38681.637173196774,9.887,-6,1
112,248955476062,20000112,2018-10-24 13:49:38.569064,11-28,51575.51623092903,8.752,NA,1
112,338057789544,20000112,2020-05-13 13:49:38.789586,06-13,51575.51623092903,11.128,NA,0
112,793911812559,20000112,2018-10-29 13:49:38.999036,12-12,38681.637173196774,9.835,NA,0
112,405624894843,20000112,2018-11-18 13:49:39.286257,12-21,51575.51623092903,9.378,NA,0
464,240934538515,20000464,2010-04-08 13:49:39.286257,05-08,77773.45039444287,23.468,NA,0
464,702396689101,20000464,2014-07-03 13:49:39.286257,08-03,77773.45039444287,22.439,6,6
464,678336711051,20000464,2012-11-20 13:49:39.286257,12-29,77773.45039444287,23.442,NA,0
464,865233886826,20000464,2013-12-21 13:49:39.286257,02-01,77773.45039444287,24.6,NA,1
331,148456179152,20000331,2015-01-11 13:49:39.286257,02-22,190194.34310226532,23.296,NA,1
762,148721037233,20000762,2011-08-13 13:49:39.286257,09-19,29735.916127563938,19.279,NA,0
762,105446372232,20000762,2012-12-22 13:49:39.286257,01-28,22301.937095672954,19.272,8,8
